2007-08 season:|Fri Nov 30 2007|at Uta|Utah 120|LA Lakers 96  | | |
2007-08 season:|Fri Nov 30 2007|at Pho|Phoenix 110|Orlando 106  | | |
2007-08 season:|Fri Nov 30 2007|at Den|Denver 123|LA Clippers 107  | | |
2007-08 season:|Fri Nov 30 2007|at Sea|Seattle 95|Indiana 93  | | |
2007-08 season:|Sat Dec 1 2007|at Wsh|Washington 101|Toronto 97  | | |
2007-08 season:|Sat Dec 1 2007|at NJ|New Jersey 94|Philadelphia 92 (OT)| | |
2007-08 season:|Sat Dec 1 2007|at Mem|Memphis 109|Minnesota 80  | | |
2007-08 season:|Sat Dec 1 2007|at NOH|NO Hornets 112|Dallas 108 (OT)| | |
2007-08 season:|Sat Dec 1 2007|at Chi|Chicago 111|Cha Bobcats 95  | | |
2007-08 season:|Sat Dec 1 2007|at Mil|Detroit 117|Milwaukee 91  | | |
2007-08 season:|Sat Dec 1 2007|at Sac|Sacramento 107|Houston 99  | | |
2007-08 season:|Sun Dec 2 2007|at Bos|Boston 80|Cleveland 70  | | |
2007-08 season:|Sun Dec 2 2007|at SA|San Antonio 100|Portland 79  | | |
2007-08 season:|Sun Dec 2 2007|at LAC|Indiana 101|LA Clippers 95  | | |
2007-08 season:|Sun Dec 2 2007|at Det|Detroit 118|New Jersey 95  | | |
2007-08 season:|Sun Dec 2 2007|at NY|Phoenix 115|New York 104  | | |
2007-08 season:|Sun Dec 2 2007|at Den|Denver 115|Miami 89  | | |
2007-08 season:|Sun Dec 2 2007|at Sea|Golden State 109|Seattle 96  | | |
2007-08 season:|Sun Dec 2 2007|at LAL|Orlando 104|LA Lakers 97  | | |
2007-08 season:|Mon Dec 3 2007|at Tor|Toronto 98|Cha Bobcats 79  | | |
2007-08 season:|Mon Dec 3 2007|at Phi|Atlanta 88|Philadelphia 79  | | |
2007-08 season:|Mon Dec 3 2007|at Mem|Portland 106|Memphis 105  | | |
2007-08 season:|Mon Dec 3 2007|at Chi|Dallas 103|Chicago 98  | | |
2007-08 season:|Mon Dec 3 2007|at Uta|Utah 110|Miami 101  | | |
2007-08 season:|Mon Dec 3 2007|at GS|Orlando 123|Golden State 117 (OT)| | |
2007-08 season:|Tue Dec 4 2007|at Atl|Detroit 106|Atlanta 95  | | |
2007-08 season:|Tue Dec 4 2007|at Cle|New Jersey 100|Cleveland 79  | | |
2007-08 season:|Tue Dec 4 2007|at Ind|Phoenix 121|Indiana 117  | | |
2007-08 season:|Tue Dec 4 2007|at Min|LA Lakers 116|Minnesota 95  | | |
2007-08 season:|Tue Dec 4 2007|at Sac|Sacramento 117|Utah 107  | | |
2007-08 season:|Tue Dec 4 2007|at LAC|Milwaukee 87|LA Clippers 78  | | |
2007-08 season:|Wed Dec 5 2007|at Tor|Phoenix 136|Toronto 123  | | |
2007-08 season:|Wed Dec 5 2007|at Phi|Boston 113|Philadelphia 103  | | |
2007-08 season:|Wed Dec 5 2007|at Wsh|Washington 105|Cleveland 86  | | |
2007-08 season:|Wed Dec 5 2007|at ChB|Chicago 91|Cha Bobcats 82  | | |
2007-08 season:|Wed Dec 5 2007|at NJ|New York 100|New Jersey 93  | | |
2007-08 season:|Wed Dec 5 2007|at NOH|Detroit 91|NO Hornets 76  | | |
2007-08 season:|Wed Dec 5 2007|at Hou|Houston 105|Memphis 92  | | |
2007-08 season:|Wed Dec 5 2007|at SA|San Antonio 97|Dallas 95  | | |
2007-08 season:|Wed Dec 5 2007|at Den|LA Lakers 111|Denver 107  | | |
2007-08 season:|Wed Dec 5 2007|at GS|Golden State 120|Milwaukee 90  | | |
