bellgu01,1928,USA,KY,1995,190,73,L,R,1950-05-30,1964-05-01,bellgu01,-1,-1
bellhma01,1974,USA,MA,,195,73,B,R,1997-06-10,2007-09-30,bellhma01,-1,-1
bellira01,1961,D.R.,Valverde,,160,66,R,R,1982-09-06,1998-04-09,bellira01,-1,-1
belliro01,1975,USA,NY,,210,69,R,R,1998-09-12,2010-09-06,belliro01,-1,-1
bellja01,1965,USA,FL,,180,73,R,R,1986-09-29,2003-09-28,bellja01,-1,0.0037105751391465678
bellle01,1901,USA,PA,1985,165,71,R,R,1923-09-17,1931-09-27,bellle01,-1,-1
beltbr01,1988,USA,TX,,220,77,L,L,2011-03-31,2017-08-04,beltbr01,-1,-1
beltrad01,1979,D.R.,Distrito Nacional,,220,71,R,R,1998-06-24,2017-10-01,beltrad01,-1,-1
beltrca01,1977,P.R.,,,215,73,B,R,1998-09-14,2017-10-01,beltrca01,-1,-1
bemisha01,1874,USA,NH,1947,155,66,R,R,1902-04-23,1910-08-15,bemisha01,-1,-1
benarma01,1971,Nicaragua,Atlantico Sur,,180,70,L,L,1995-09-05,2003-09-27,benarma01,-1,-1
benchjo01,1947,USA,OK,,197,73,R,R,1967-08-28,1983-09-29,benchjo01,1989,0.9642058165548099
benedbr01,1955,USA,AL,,175,73,R,R,1978-08-18,1989-09-11,benedbr01,-1,-1
bengobe01,1898,USA,NY,1968,168,67,R,R,1923-05-18,1932-09-24,bengobe01,-1,-1
beniqju01,1950,P.R.,,,150,71,R,R,1971-09-04,1988-05-30,beniqju01,-1,-1
benjami01,1965,USA,OH,,195,75,R,R,1989-07-07,2002-09-28,benjami01,-1,-1
bennega01,1972,USA,IL,,190,72,R,R,1995-09-24,2008-05-18,bennega01,-1,-1
bennepu01,1874,USA,NE,1935,165,71,L,R,1906-04-12,1907-09-20,bennepu01,-1,-1
benzito01,1963,USA,KY,,185,73,B,R,1987-06-21,1995-05-14,benzito01,-1,-1
berarjo01,1917,USA,CA,1996,175,71,R,R,1939-04-22,1952-09-19,berarjo01,-1,-1
berbelo01,1929,USA,CA,2004,200,71,L,R,1954-09-17,1960-09-25,berbelo01,-1,-1
bergda01,1970,USA,CA,,185,71,R,R,1998-04-02,2004-09-29,bergda01,-1,-1
bergebi01,1878,USA,MA,1943,184,72,R,R,1901-05-06,1911-09-20,bergebi01,-1,-1
bergebo01,1910,USA,MD,1992,180,74,R,R,1932-08-17,1939-09-30,bergebo01,-1,-1
bergepe01,1977,USA,MA,,185,74,L,R,1999-09-07,2004-04-18,bergepe01,-1,-1
bergewa01,1905,USA,IL,1988,198,74,R,R,1930-04-15,1940-07-04,bergewa01,-1,0.007518796992481203
bergmda01,1953,USA,IL,2015,185,73,L,L,1975-08-26,1992-10-04,bergmda01,-1,-1
