2110,2306,"Sat, Sept 2",19,55
2429,2306,"Sat, Sept 9",7,55
2306,238,"Sat, Sept 16",7,14
239,2306,"Sat, Sept 30",20,33
2306,251,"Sat, Oct 7",34 2OT,40
2628,2306,"Sat, Oct 14",26,6
201,2306,"Sat, Oct 21",42,35
2306,2305,"Sat, Oct 28",30,20
2306,2641,"Sat, Nov 4",42,35 OT
277,2306,"Sat, Nov 11",28,23
2306,197,"Sat, Nov 18",,
331,2641,"Sat, Sept 2",10,56
9,2641,"Sat, Sept 16",45,52
2641,248,"Sat, Sept 23",27,24
197,2641,"Sat, Sept 30",41,34
2641,2305,"Sat, Oct 7",65,19
2641,277,"Sat, Oct 14",35,46
66,2641,"Sat, Oct 21",31,13
2641,201,"Sat, Oct 28",27,49
2306,2641,"Sat, Nov 4",42,35 OT
239,2641,"Sat, Nov 11",24,38
2335,239,"Sat, Sept 2",48,45
2636,239,"Sat, Sept 9",17,10
239,150,"Sat, Sept 16",20,34
201,239,"Sat, Sept 23",49,41
239,2306,"Sat, Sept 30",20,33
239,197,"Sat, Oct 14",16,59
277,239,"Sat, Oct 21",38,36
251,239,"Sat, Oct 28",38,7
239,2305,"Sat, Nov 4",38,9
2641,239,"Sat, Nov 11",38,24
2546,2305,"Sat, Sept 2",16,38
2117,2305,"Sat, Sept 9",45,27
2305,195,"Sat, Sept 16",30,42
277,2305,"Sat, Sept 23",56,34
2641,2305,"Sat, Oct 7",65,19
2305,66,"Sat, Oct 14",0,45
2305,2628,"Sat, Oct 21",0,43
2306,2305,"Sat, Oct 28",30,20
239,2305,"Sat, Nov 4",38,9
2305,251,"Sat, Nov 11",27,42
201,2305,"Sat, Nov 18",,
2638,201,"Sat, Sept 2",7,56
201,194,"Sat, Sept 9",31,16
2655,201,"Sat, Sept 16",14,56
201,239,"Sat, Sept 23",49,41
66,201,"Sat, Oct 7",38,31
251,201,"Sat, Oct 14",24,29
201,2306,"Sat, Oct 21",42,35
2641,201,"Sat, Oct 28",27,49
201,197,"Sat, Nov 4",62,52
2628,201,"Sat, Nov 11",20,38
201,2305,"Sat, Nov 18",,
2296,2628,"Sat, Sept 2",0,63
2628,8,"Sat, Sept 9",28,7
2567,2628,"Sat, Sept 16",36,56
2628,197,"Sat, Sept 23",44,31
277,2628,"Sat, Oct 7",24,31
2628,2306,"Sat, Oct 14",26,6
2305,2628,"Sat, Oct 21",0,43
2628,66,"Sat, Oct 28",7,14
251,2628,"Sat, Nov 4",7,24
2628,201,"Sat, Nov 11",20,38
202,197,"Thu, Aug 31",24,59
