nc-at,clemson,63,87,2017,11,12,"Littlejohn Coliseum, Clemson, SC"
michigan-dearborn,eastern-mich,73,97,2017,11,12,"Convocation Center (MI), Ypsilanti, MI"
toccoa-falls,mercer,43,110,2017,11,12,"Hawkins Arena, Macon, GA"
wash-lee,wofford,66,103,2017,11,12,"Benjamin Johnson Arena, Spartanburg, SC"
massachusetts,harvard,67,70,2017,11,12,"Lavietes Pavilion, Allston, MA"
radford,ohio-st,72,82,2017,11,12,"Value City Arena at the Jerome Schottenstein Center, Columbus, OH"
central-conn-st,rutgers,67,71,2017,11,12,"Louis Brown Athletic Center, Piscataway, NJ"
neb-omaha,oklahoma,89,108,2017,11,12,"Lloyd Noble Center, Norman, OK"
eureka,loyola-chicago,69,96,2017,11,12,"Joseph J. Gentile Center, Chicago, IL"
allen,sc-upstate,66,85,2017,11,12,"G.B. Hodge Center, Spartanburg, SC"
mary,south-dakota-st,54,78,2017,11,12,"Frost Arena, Brookings, SD"
bridgewater-va,appalachian-st,57,95,2017,11,12,"George M. Holmes Convocation Center, Boone, NC"
charleston-so,north-carolina-st,56,78,2017,11,12,"PNC Arena, Raleigh, NC"
cal-poly,california,82,85,2017,11,12,"Haas Pavilion, Berkeley, CA"
texas-southern,washington-st,84,86,2017,11,12,"Beasley Coliseum, Pullman, WA"
texas-st,air-force,57,65,2017,11,12,"Clune Arena, Colorado Springs, CO"
la-monroe,smu,65,83,2017,11,12,"Moody Coliseum, Dallas, TX"
southern-utah,boise-st,69,90,2017,11,12,"Taco Bell Arena, Boise, ID"
east-central,utsa,59,92,2017,11,12,"UTSA Convocation Center, San Antonio, TX"
gordon,hartford,63,80,2017,11,12,"Chase Arena at Reich Family Pavilion, West Hartford, CT"
wentworth,northeastern,49,83,2017,11,12,"Matthews Arena, Boston, MA"
alabama-st,iowa,58,92,2017,11,12,"Carver-Hawkeye Arena, Iowa City, IA"
defiance,ipfw,59,114,2017,11,12,"Hilliard Gates Sports Center, Fort Wayne, IN"
fairleigh-dickinson,penn-st,57,81,2017,11,12,"Bryce Jordan Center, University Park, PA"
coppin-st,east-carolina,50,76,2017,11,12,"Minges Coliseum, Greenville, NC"
san-diego,san-jose-st,81,64,2017,11,12,"Event Center Arena, San Jose, CA"
ozarks-ar,central-ark,51,99,2017,11,12,"Farris Center, Conway, AR"
morehead-st,lipscomb,70,77,2017,11,12,"Allen Arena, Nashville, TN"
letourneau,northwestern-st,99,84,2017,11,12,"Prather Coliseum, Natchitoches, LA"
haskell,umkc,59,110,2017,11,12,"Municipal Auditorium, Kansas City, MO"
bluefield-col,hampton,68,85,2017,11,12,"Hampton Convocation Center, Hampton, VA"
princeton,butler,75,85,2017,11,12,"Hinkle Fieldhouse, Indianapolis, IN"
bucknell,arkansas,73,101,2017,11,12,"Bud Walton Arena, Fayetteville, AR"
ut-martin,illinois,74,77,2017,11,12,"State Farm Center, Champaign, IL"
umes,maryland,43,96,2017,11,12,"Xfinity Center, College Park, MD"
yale,wisconsin,61,89,2017,11,12,"Kohl Center, Madison, WI"
uc-irvine,denver,83,69,2017,11,12,"Magness Arena, Denver, CO"
alcorn,creighton,72,109,2017,11,12,"CenturyLink Center, Omaha, NE"
citadel,virginia-tech,93,132,2017,11,12,"Cassell Coliseum, Blacksburg, VA"
stetson,fiu,70,64,2017,11,12,"FIU Arena, Miami, FL"
puget-sound,seattle,70,121,2017,11,12,"Connolly Center, Seattle, WA"
troy,ark-pine-bluff,81,57,2017,11,12,"Stan Sheriff Center, Honolulu, HI"
howard,indiana,77,86,2017,11,12,"Assembly Hall, Bloomington, IN"
eastern-wash,washington,69,79,2017,11,12,"Alaska Airlines Arena at Hec Edmundson Pavilion, Seattle, WA"
jacksonville,georgetown,57,73,2017,11,12,"Capital One Arena, Washington, DC"
pacific,stanford,80,89,2017,11,12,"Maples Pavilion, Stanford, CA"
north-dakota,hawaii,78,81,2017,11,12,"Stan Sheriff Center, Honolulu, HI"
col-of-charleston,wichita-st,63,81,2017,11,13,"Charles Koch Arena, Wichita, KS"
gardner-webb,florida,74,116,2017,11,13,"Exactech Arena at the Stephen C. O'Connell Center, Gainesville, FL"
north-dakota-st,southern-california,65,75,2017,11,13,"Galen Center, Los Angeles, CA"
western-caro,cincinnati,51,102,2017,11,13,"BB&T Arena at Northern Kentucky, Highland Heights, KY"
mt-st-marys,notre-dame,62,88,2017,11,13,"Purcell Pavilion, South Bend, IN"
minnesota,providence,86,74,2017,11,13,"Dunkin' Donuts Center, Providence, RI"
rider,xavier,75,101,2017,11,13,"Cintas Center, Cincinnati, OH"
saint-peters,northwestern,66,75,2017,11,13,"Allstate Arena, Rosemont, IL"
new-mexico-st,st-marys-ca,74,92,2017,11,13,"McKeon Pavilion, Moraga, CA"
am-corpus-chris,baylor,46,70,2017,11,13,"Ferrell Center, Waco, TX"
troy,hawaii,67,72,2017,11,13,"Stan Sheriff Center, Honolulu, HI"
nc-central,evansville,55,68,2017,11,13,"Ford Center, Evansville, IN"
jacksonville-st,richmond,94,61,2017,11,13,"Robins Center, Richmond, VA"
eastern-ky,ole-miss,75,85,2017,11,13,"The Pavilion at Ole Miss, Oxford, MS"
liu-brooklyn,fordham,68,81,2017,11,13,"Rose Hill Gymnasium, Bronx, NY"
central-mich,michigan,65,72,2017,11,13,"Crisler Center, Ann Arbor, MI"
montana,pittsburgh,83,78,2017,11,13,"Petersen Events Center, Pittsburgh, PA"
austin-peay,virginia,49,93,2017,11,13,"John Paul Jones Arena, Charlottesville, VA"
morgan-st,south-fla,63,53,2017,11,13,"USF Sun Dome, Tampa, FL"
south-dakota,bowling-green,88,79,2017,11,13,"Stroh Center, Bowling Green, OH"
north-florida,vcu,85,95,2017,11,13,"Stuart C. Siegel Center, Richmond, VA"
southern-u,marshall,74,83,2017,11,13,"Cam Henderson Center, Huntington, WV"
albany-ny,boston-u,88,74,2017,11,13,"Case Gym, Boston, MA"
new-orleans,oakland,68,87,2017,11,13,"Athletics Center O'rena, Rochester, MI"
columbia-international,campbell,44,108,2017,11,13,"John W. Pope Jr. Convocation Center, Buies Creek, NC"
michigan-dearborn,detroit,82,105,2017,11,13,"Calihan Hall, Detroit, MI"
binghamton,cornell,84,94,2017,11,13,"Newman Arena, Ithaca, NY"
lees-mcrae,unc-asheville,60,92,2017,11,13,"Kimmel Arena, Asheville, NC"
old-dominion,james-madison,69,53,2017,11,13,"JMU Convocation Center, Harrisonburg, VA"
kennesaw-st,hofstra,57,75,2017,11,13,"David S. Mack Sports and Exhibition Complex - Hofstra Arena, Hempstead, NY"
frostburg-st,towson,45,89,2017,11,13,"SECU Arena, Towson, MD"
la-salle,penn,75,71,2017,11,13,"Palestra, Philadelphia, PA"
brown,quinnipiac,79,72,2017,11,13,"TD Bank Sports Center, Hamden, CT"
fgcu,siena,86,53,2017,11,13,"Times Union Center, Albany, NY"
east-tenn-st,savannah-st,76,61,2017,11,13,"Tiger Arena, Savannah, GA"
lynchburg,norfolk-st,83,80,2017,11,13,"Joseph G. Echols Memorial Hall, Norfolk, VA"
arcadia,drexel,81,95,2017,11,13,"Daskalakis Athletic Center, Philadelphia, PA"
southeast-mo-st,louisiana-tech,95,96,2017,11,13,"Thomas Assembly Center, Ruston, LA"
bakersfield,ga-southern,53,77,2017,11,13,"W.S. Hanner Fieldhouse, Statesboro, GA"
vanderbilt,belmont,60,69,2017,11,13,"Curb Event Center, Nashville, TN"
anderson-in,iupui,43,75,2017,11,13,"Indiana Farmers Coliseum, Indianapolis, IN"
delaware-st,depaul,57,81,2017,11,13,"Wintrust Arena, Chicago, IL"
milwaukee,iowa-st,74,56,2017,11,13,"James H. Hilton Coliseum, Ames, IA"
north-texas,nebraska,67,86,2017,11,13,"Pinnacle Bank Arena, Lincoln, NE"
western-mich,south-carolina,60,78,2017,11,13,"Colonial Life Arena, Columbia, SC"
charlotte,oklahoma-st,65,83,2017,11,13,"Gallagher-Iba Arena, Stillwater, OK"
southeastern-la,tulane,66,89,2017,11,13,"Devlin Fieldhouse, New Orleans, LA"
oral-roberts,tulsa,71,90,2017,11,13,"Reynolds Center, Tulsa, OK"
alcorn,uni,45,73,2017,11,13,"McLeod Center, Cedar Falls, IA"
abilene-christian,arkansas-st,69,83,2017,11,13,"Convocation Center, Jonesboro, AR"
trinity-christian,valparaiso,46,83,2017,11,13,"Athletics-Recreation Center, Valparaiso, IN"
trinity-tx,incarnate-word,57,93,2017,11,13,"McDermott Center, San Antonio, TX"
chattanooga,uab,47,89,2017,11,13,"Bartow Arena, Birmingham, AL"
alabama-am,samford,68,87,2017,11,13,"Pete Hanna Center, Birmingham, AL"
ecclesia,mcneese-st,54,101,2017,11,13,"Burton Coliseum, Lake Charles, LA"
middle-tenn,murray-st,72,67,2017,11,13,"CFSB Center, Murray, KY"
reinhardt,tennessee-st,53,92,2017,11,13,"Gentry Complex, Nashville, TN"
bethune-cookman,utrgv,74,92,2017,11,13,"UTRGV Fieldhouse, Edinburg, TX"
saint-josephs,ill-chicago,86,82,2017,11,13,"UIC Pavilion, Chicago, IL"
mobile,south-ala,49,71,2017,11,13,"Mitchell Center, Mobile, AL"
rockhurst,saint-louis,50,74,2017,11,13,"Chaifetz Arena, St. Louis, MO"
embry-riddle-fl,northern-ariz,82,70,2017,11,13,"Walkup Skydome, Flagstaff, AZ"
prairie-view,oregon,67,100,2017,11,13,"Matthew Knight Arena, Eugene, OR"
wagner,missouri,55,99,2017,11,13,"Mizzou Arena, Columbia, MO"
mississippi-val,utah,51,91,2017,11,13,"Jon M. Huntsman Center, Salt Lake City, UT"
tennessee-tech,tcu,63,100,2017,11,13,"Schollmaier Arena, Fort Worth, TX"
montana-st,utah-st,73,81,2017,11,13,"Smith Spectrum, Logan, UT"
robert-morris,grand-canyon,61,75,2017,11,13,"Grand Canyon University Arena, Phoenix, AZ"
uc-davis,northern-colo,74,59,2017,11,13,"Bank of Colorado Arena at Butler-Hancock Athletic Center, Greeley, CO"
ark-pine-bluff,north-dakota,71,80,2017,11,13,"Stan Sheriff Center, Honolulu, HI"
cal-st-northridge,fresno-st,73,89,2017,11,13,"Save Mart Center, Fresno, CA"
