Jeff Bagwell,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU
Stan Bahnsen,NYA,NYA,NYA,NYA,CHA,CHA,CHA,CHA,OAK,OAK,OAK,MON,MON,MON,MON,MON
Ed Bahr,PIT,PIT
Frank Bahret
Grover Baichley
Andrew Bailey,OAK,OAK,OAK,BOS,PHI
Bill Bailey,SLA,SLA,SLA,SLA,SLA,DET,SLN,SLN
Bill Bailey
Bob Bailey,PIT,PIT,PIT,PIT,LAN,LAN,MON,MON,MON,MON,MON,MON,MON,CIN,BOS
Cory Bailey,SLN,KCA,KCA
Ed Bailey,CIN,CIN,CIN,CIN,CIN,CIN,SFN,SFN,SFN,ML1,CHN
Fred Bailey
Gene Bailey,BOS,BRO
Harvey Bailey
Howard Bailey,DET,DET
Homer Bailey,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN,CIN
Jeff Bailey
Jim Bailey
King Bailey
Mark Bailey,HOU,HOU,HOU
Roger Bailey,COL,COL,COL
Scott Bailes,CLE,CLE,CLE,CLE,CAL,CAL,CAL,TEX
Steve Bailey
Sweetbread Bailey,CHN,CHN,BRO
Bob Bailor,TOR,TOR,TOR,TOR,NYN,NYN,LAN,LAN
Harold Baines,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,CHA,TEX,TEX,OAK,OAK,OAK,BAL,BAL,BAL,CHA,CHA,BAL,BAL,BAL,BAL
Loren Bain
Al Baird
Bob Baird
Doug Baird,PIT,PIT,PIT,SLN,SLN,PHI
Doug Bair,OAK,CIN,CIN,CIN,CIN,SLN,SLN,DET,DET,DET,OAK,PIT,PIT
Jeff Baisley
Jeff Bajenaru
Jersey Bakley
Dave Bakenhaster
Al Baker
Bill Baker,PIT,PIT,SLN
Bock Baker
Charlie Baker
Chuck Baker
Dave Baker
Del Baker
Doug Baker
Dusty Baker,ATL,ATL,ATL,ATL,LAN,LAN,LAN,LAN,LAN,LAN,LAN,LAN,SFN,OAK,OAK
Ernie Baker
